ageOfWife;ageOfHusband;AgeOfWife1stbirth;AgeofHusband1stbirth;educationWife;educationHusband;FrequencyInternetWife;FrequencyInternetHusband;Wealth;TypeofPlace;Totalchildren;Agechild;Sexthefirstchild
34;36;22;25;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;5;11;M
47;53;20;25;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;3;27;M
36;38;26;28;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;10;F
30;40;17;27;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;2;13;F
41;48;19;27;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;2;21;F
23;29;18;24;Primary;Primary;NotAtAll;AlmostEveryday;Poorer;Urban;1;5;M
23;26;17;21;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;1;5;F
32;33;22;23;Secondary;Primary;NotAtAll;NotAtAll;Middle;Urban;3;9;F
25;30;18;23;Primary;Secondary;onceAweek;onceAweek;Poorer;Urban;1;6;M
38;42;26;30;Secondary;Higher;NotAtAll;AlmostEveryday;Richer;Urban;3;11;M
27;44;22;39;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;1;4;M
45;43;36;34;Secondary;Secondary;AlmostEveryday;NotAtAll;Middle;Urban;1;8;M
32;31;25;24;Secondary;Secondary;onceAweek;AlmostEveryday;Richest;Urban;1;6;F
35;35;29;30;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;1;5;M
46;47;29;29;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;2;17;F
40;42;26;27;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;14;F
41;46;23;29;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;2;17;M
31;34;21;25;Secondary;Secondary;NotAtAll;AlmostEveryday;Richer;Urban;2;9;M
37;34;24;22;Secondary;Secondary;NotAtAll;AlmostEveryday;Richer;Urban;2;12;F
44;49;19;23;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;3;25;M
46;47;21;22;Secondary;Secondary;AlmostEveryday;NotAtAll;Richer;Urban;1;25;F
25;30;25;29;Higher;Higher;AlmostEveryday;AlmostEveryday;Richer;Urban;1;0;F
49;45;22;36;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;2;27;M
24;25;20;21;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;2;4;M
35;32;27;25;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;2;7;F
34;34;30;29;Primary;Secondary;NotAtAll;NotAtAll;Middle;Urban;1;4;F
25;25;20;20;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;1;5;M
36;33;32;29;Primary;Secondary;NotAtAll;At least once a week;Richer;Urban;1;4;F
29;43;19;33;Primary;Primary;NotAtAll;NotAtAll;Poorer;Urban;1;9;F
42;38;19;99;Secondary;Primary;onceAweek;NotAtAll;Richer;Urban;3;22;M
28;36;18;26;Secondary;Secondary;LessThanOnceAweek;NotAtAll;Middle;Urban;2;9;F
27;29;22;24;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Middle;Urban;2;4;M
30;35;18;24;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;11;F
48;51;16;21;Primary;Primary;NotAtAll;NotAtAll;Richer;Urban;3;26;M
39;46;22;21;Primary;Secondary;NotAtAll;NotAtAll;Richer;Urban;2;17;F
36;34;26;24;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;10;M
33;44;20;23;Secondary;Primary;NotAtAll;NotAtAll;Middle;Urban;1;12;M
41;48;18;26;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;4;20;F
40;52;22;25;Secondary;Secondary;onceAweek;NotAtAll;Richer;Urban;2;18;F
34;41;20;28;Primary;Primary;NotAtAll;NotAtAll;Middle;Urban;3;13;M
28;37;23;33;Secondary;Primary;onceAweek;AlmostEveryday;Middle;Urban;1;4;M
28;32;20;24;Secondary;Secondary;NotAtAll;At least once a week;Middle;Urban;3;4;F
43;44;22;23;Secondary;Secondary;NotAtAll;AlmostEveryday;Richest;Urban;6;21;F
37;42;20;27;Primary;Primary;NotAtAll;NotAtAll;Poorer;Urban;4;17;M
38;42;15;19;No education;Primary;NotAtAll;NotAtAll;Poorest;Urban;4;23;M
31;35;18;21;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;2;12;M
31;37;19;25;Primary;Primary;onceAweek;NotAtAll;Middle;Urban;3;12;M
48;48;25;99;Secondary;Secondary;NotAtAll;NotAtAll;Richest;Urban;3;22;F
33;33;27;27;Secondary;Primary;AlmostEveryday;NotAtAll;Richer;Urban;1;6;M
42;48;21;27;Primary;Secondary;AlmostEveryday;NotAtAll;Middle;Urban;3;21;M
29;29;21;22;Secondary;Secondary;NotAtAll;At least once a week;Richest;Urban;2;7;F
30;38;19;26;Primary;Primary;AlmostEveryday;At least once a week;Richest;Urban;2;11;F
40;40;19;19;Primary;Primary;NotAtAll;NotAtAll;Richer;Urban;3;20;M
49;47;25;24;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Poorer;Urban;3;23;M
30;33;19;22;Secondary;Secondary;NotAtAll;NotAtAll;Richest;Urban;3;10;F
32;33;17;17;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;2;15;M
45;48;25;29;Secondary;Secondary;NotAtAll;AlmostEveryday;Middle;Urban;3;19;F
36;36;22;21;Primary;Primary;NotAtAll;NotAtAll;Middle;Urban;4;14;F
40;51;17;28;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;3;22;M
31;40;16;23;Secondary;Secondary;NotAtAll;AlmostEveryday;Middle;Rural;2;15;F
45;51;18;25;Primary;Primary;NotAtAll;NotAtAll;Richer;Rural;3;26;F
32;37;14;22;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;3;18;M
39;47;15;24;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;2;23;M
41;48;13;20;No education;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;28;F
37;40;13;25;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;23;F
42;44;21;20;Primary;Primary;NotAtAll;NotAtAll;Richer;Rural;3;19;M
38;48;20;25;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;17;M
27;33;18;25;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;1;8;F
45;52;20;99;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;25;F
25;34;23;32;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;1;1;F
29;42;22;36;Primary;Primary;NotAtAll;AlmostEveryday;Poorer;Rural;1;6;M
22;24;21;22;Secondary;Secondary;NotAtAll;At least once a week;Poorer;Rural;1;1;F
45;49;19;22;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;3;26;M
34;46;21;32;Secondary;Higher;onceAweek;LessThanOnceAweek;Poorest;Rural;2;13;F
34;41;26;41;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;1;8;F
38;37;22;37;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;3;16;M
35;40;19;25;Secondary;Secondary;NotAtAll;At least once a week;Richer;Urban;2;15;F
37;45;18;26;Secondary;Secondary;onceAweek;NotAtAll;Richest;Urban;3;18;F
41;46;23;28;Higher;Higher;LessThanOnceAweek;AlmostEveryday;Richest;Urban;2;17;F
24;27;22;25;Secondary;Secondary;onceAweek;onceAweek;Poorer;Urban;1;2;F
41;47;25;37;Secondary;Higher;NotAtAll;At least once a week;Richer;Urban;3;15;F
46;45;27;26;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Urban;1;18;M
45;45;20;27;Primary;Primary;NotAtAll;NotAtAll;Poorest;Urban;4;25;M
39;44;25;33;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Urban;5;11;M
30;34;22;26;Secondary;Secondary;LessThanOnceAweek;AlmostEveryday;Richer;Urban;2;7;M
24;32;22;30;Secondary;Secondary;onceAweek;AlmostEveryday;Middle;Rural;1;2;F
42;44;16;25;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;3;26;F
32;38;16;24;Primary;Primary;onceAweek;NotAtAll;Middle;Rural;3;15;M
41;44;19;25;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;5;22;M
35;54;19;99;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;15;F
44;49;18;26;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;6;26;M
48;54;15;99;Secondary;Primary;NotAtAll;NotAtAll;Middle;Rural;4;32;F
33;34;18;99;Primary;Secondary;LessThanOnceAweek;NotAtAll;Middle;Rural;2;14;M
28;36;24;32;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;1;4;F
37;39;22;25;Secondary;Primary;LessThanOnceAweek;LessThanOnceAweek;Poorer;Urban;2;14;M
36;41;24;28;Secondary;Secondary;onceAweek;NotAtAll;Middle;Urban;2;12;M
26;30;24;28;Secondary;Secondary;AlmostEveryday;NotAtAll;Richer;Urban;1;1;M
25;34;20;29;Secondary;Higher;LessThanOnceAweek;NotAtAll;Middle;Urban;1;4;M
19;29;17;25;Secondary;Secondary;onceAweek;NotAtAll;Poorer;Urban;1;2;M
36;42;16;22;Secondary;Primary;NotAtAll;NotAtAll;Richest;Rural;2;19;M
37;43;17;24;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;5;19;F
39;44;20;25;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;19;M
46;47;26;27;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;3;19;F
20;23;19;22;Secondary;Secondary;onceAweek;NotAtAll;Poorest;Rural;1;1;M
22;35;21;23;Secondary;Primary;NotAtAll;AlmostEveryday;Poorer;Rural;1;0;M
37;41;20;26;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;16;M
39;44;19;25;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;4;18;F
45;52;20;24;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;25;M
44;47;17;25;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;26;F
33;39;18;21;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;15;M
31;37;19;25;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;12;F
38;47;18;17;Primary;Primary;NotAtAll;NotAtAll;Middle;Urban;4;19;F
41;45;21;99;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Urban;3;19;M
39;48;19;20;Primary;Primary;NotAtAll;NotAtAll;Middle;Urban;3;19;M
44;52;15;24;Primary;Primary;NotAtAll;NotAtAll;Poorer;Urban;1;28;M
31;35;26;30;Secondary;Primary;onceAweek;NotAtAll;Richer;Urban;1;5;M
47;43;20;25;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;27;M
39;44;20;23;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;2;19;M
23;27;21;24;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Rural;1;2;M
41;48;13;20;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;2;28;F
21;24;19;22;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;1;1;F
35;42;20;27;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;2;15;F
37;39;21;23;Secondary;Secondary;AlmostEveryday;NotAtAll;Middle;Urban;2;16;M
29;32;23;26;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Urban;1;5;F
35;54;21;40;Secondary;Primary;NotAtAll;NotAtAll;Richer;Rural;2;14;M
29;32;18;22;Secondary;Secondary;AlmostEveryday;NotAtAll;Poorer;Rural;3;10;M
35;37;21;23;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;1;13;M
37;42;18;24;Primary;Secondary;NotAtAll;NotAtAll;Middle;Rural;2;18;F
30;39;14;22;Primary;Primary;AlmostEveryday;NotAtAll;Poorest;Rural;2;12;F
43;44;25;26;Secondary;Secondary;NotAtAll;AlmostEveryday;Middle;Urban;3;17;M
37;36;22;21;Secondary;Primary;onceAweek;AlmostEveryday;Richer;Urban;3;15;M
40;48;17;20;Primary;Secondary;NotAtAll;AlmostEveryday;Middle;Urban;2;22;F
35;35;21;23;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Middle;Urban;2;13;M
38;48;17;27;Secondary;Secondary;AlmostEveryday;NotAtAll;Middle;Urban;4;21;M
26;27;23;23;Secondary;Secondary;onceAweek;AlmostEveryday;Middle;Urban;1;3;F
35;47;19;31;Primary;Primary;NotAtAll;NotAtAll;Poorest;Urban;3;16;F
44;47;16;21;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;2;27;M
45;45;18;19;Primary;Primary;NotAtAll;NotAtAll;Poorest;Urban;4;26;F
47;48;15;15;Primary;Primary;NotAtAll;NotAtAll;Poorest;Urban;3;32;F
32;34;20;20;Primary;Primary;NotAtAll;NotAtAll;Poorest;Urban;2;12;M
35;54;23;29;Primary;Primary;NotAtAll;NotAtAll;Poorer;Urban;2;12;M
25;32;18;26;Primary;Primary;NotAtAll;NotAtAll;Poorer;Urban;1;6;F
34;35;20;21;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Urban;2;14;M
21;23;20;22;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Urban;1;0;M
31;48;13;29;Secondary;Secondary;NotAtAll;At least once a week;Poorer;Urban;3;18;F
28;32;19;22;Secondary;Primary;NotAtAll;At least once a week;Poorest;Urban;2;9;M
41;33;17;26;Primary;Primary;NotAtAll;NotAtAll;Poorer;Urban;3;23;M
35;47;16;27;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;4;19;M
32;35;19;22;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;4;13;M
38;41;17;20;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;20;M
32;36;17;19;Primary;Primary;NotAtAll;NotAtAll;Middle;Urban;2;15;F
33;34;20;20;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;2;13;F
31;37;21;24;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Urban;2;10;M
23;28;20;25;Secondary;Secondary;AlmostEveryday;LessThanOnceAweek;Poorer;Urban;1;2;M
36;38;26;27;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;2;10;F
40;43;17;25;Primary;Primary;NotAtAll;NotAtAll;Poorer;Urban;3;18;M
35;42;20;26;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;2;15;M
34;35;24;22;Primary;Primary;NotAtAll;NotAtAll;Middle;Urban;1;10;M
24;32;21;30;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;1;3;M
28;30;21;24;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Urban;2;6;M
46;44;27;26;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;4;19;F
33;42;19;28;Secondary;Secondary;NotAtAll;AlmostEveryday;Richer;Urban;1;14;M
31;43;21;99;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;10;F
33;33;22;23;Secondary;Secondary;AlmostEveryday;NotAtAll;Middle;Urban;2;10;M
35;51;25;41;Secondary;Higher;AlmostEveryday;AlmostEveryday;Middle;Urban;2;10;F
30;34;26;31;Secondary;Secondary;AlmostEveryday;NotAtAll;Richest;Urban;1;3;F
34;48;20;20;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Urban;5;9;M
34;36;15;18;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Urban;2;18;F
18;25;18;25;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Urban;1;0;F
45;49;24;29;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;3;21;M
49;50;24;21;Secondary;Secondary;NotAtAll;AlmostEveryday;Richest;Urban;3;25;F
45;47;32;34;Higher;Higher;NotAtAll;AlmostEveryday;Richer;Urban;2;13;F
38;46;19;27;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;2;19;M
42;48;25;30;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;16;F
26;28;25;27;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;1;1;M
36;41;12;17;Primary;Primary;NotAtAll;NotAtAll;Poorest;Urban;4;24;M
45;44;19;20;Primary;Primary;NotAtAll;NotAtAll;Poorest;Urban;4;26;F
35;36;22;25;Secondary;Secondary;NotAtAll;AlmostEveryday;Richer;Urban;3;12;M
37;43;21;28;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;2;15;M
43;44;21;22;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;2;21;M
32;34;19;22;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;2;12;F
30;30;19;23;Secondary;Secondary;NotAtAll;AlmostEveryday;Middle;Urban;2;10;F
40;42;18;20;Primary;Primary;NotAtAll;NotAtAll;Poorer;Urban;3;22;F
22;25;20;22;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;1;2;F
35;44;19;27;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;3;16;M
21;24;21;99;Secondary;Secondary;onceAweek;NotAtAll;Middle;Urban;1;0;M
40;40;20;22;Primary;Primary;NotAtAll;NotAtAll;Middle;Urban;4;16;M
43;47;22;25;Primary;Secondary;NotAtAll;NotAtAll;Richest;Urban;3;21;M
43;46;19;23;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;24;F
33;36;23;26;Secondary;Secondary;NotAtAll;AlmostEveryday;Richest;Urban;2;10;M
46;50;26;23;Primary;Higher;NotAtAll;NotAtAll;Richer;Urban;1;20;M
19;20;18;19;Secondary;Secondary;NotAtAll;AlmostEveryday;Richer;Urban;1;0;M
41;41;28;29;Secondary;Secondary;NotAtAll;AlmostEveryday;Richest;Urban;1;12;F
23;24;20;22;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;1;2;M
41;50;24;34;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;17;M
42;50;24;32;Secondary;Secondary;NotAtAll;AlmostEveryday;Richest;Urban;2;18;F
29;36;23;30;Secondary;Higher;AlmostEveryday;AlmostEveryday;Middle;Urban;3;6;F
32;40;18;27;Primary;Secondary;NotAtAll;NotAtAll;Middle;Urban;2;13;M
33;35;21;22;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;12;F
30;29;28;28;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;1;2;F
23;26;20;23;Secondary;Secondary;NotAtAll;AlmostEveryday;Middle;Urban;1;3;M
28;30;28;29;Secondary;Secondary;NotAtAll;AlmostEveryday;Richest;Urban;1;0;M
35;38;22;22;Secondary;Primary;NotAtAll;AlmostEveryday;Richest;Urban;2;13;F
46;43;33;30;Primary;Primary;NotAtAll;NotAtAll;Poorer;Urban;2;13;F
40;44;20;25;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;3;19;M
49;54;21;26;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;2;28;M
24;24;23;24;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;1;0;M
36;47;24;34;Secondary;Primary;NotAtAll;NotAtAll;Richer;Urban;1;12;M
38;49;19;31;Secondary;Primary;NotAtAll;NotAtAll;Richer;Urban;2;18;F
42;44;22;24;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;1;19;M
45;53;11;19;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;33;F
21;32;15;25;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;1;6;F
35;42;23;30;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;12;M
21;26;18;23;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;1;3;M
48;54;15;23;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;5;31;F
22;25;17;20;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Poorer;Rural;1;4;M
44;37;26;20;Primary;Secondary;NotAtAll;NotAtAll;Middle;Rural;1;18;F
33;36;21;24;Secondary;Secondary;onceAweek;NotAtAll;Richest;Rural;2;12;F
37;43;22;28;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;15;F
45;54;17;23;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;6;27;F
39;51;16;27;Secondary;Secondary;NotAtAll;At least once a week;Middle;Rural;2;22;F
22;24;22;23;Secondary;Secondary;onceAweek;AlmostEveryday;Middle;Rural;1;0;F
25;48;22;23;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;1;3;F
34;36;24;26;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;2;10;M
25;28;22;25;Higher;No education;onceAweek;AlmostEveryday;Richer;Urban;1;3;M
33;35;19;20;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Urban;3;14;F
30;35;18;22;Primary;Primary;NotAtAll;At least once a week;Poorest;Urban;2;12;M
46;50;32;41;Higher;Higher;AlmostEveryday;AlmostEveryday;Richer;Urban;1;14;M
48;47;27;27;Secondary;Secondary;NotAtAll;At least once a week;Richest;Urban;4;21;M
41;43;29;31;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;3;11;M
37;37;20;23;Secondary;Higher;AlmostEveryday;AlmostEveryday;Poorer;Urban;3;17;M
45;43;21;20;Secondary;Primary;NotAtAll;NotAtAll;Middle;Urban;2;24;M
23;25;17;20;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Middle;Urban;2;5;M
28;40;19;32;Secondary;Secondary;onceAweek;NotAtAll;Middle;Urban;2;8;M
46;49;26;32;Secondary;Higher;AlmostEveryday;NotAtAll;Richer;Urban;2;17;M
33;34;24;25;Secondary;Secondary;onceAweek;onceAweek;Middle;Urban;3;8;F
42;41;22;22;Primary;Secondary;NotAtAll;AlmostEveryday;Middle;Urban;1;19;F
24;25;18;20;Secondary;Secondary;LessThanOnceAweek;AlmostEveryday;Middle;Urban;2;5;F
41;41;20;20;Secondary;Primary;NotAtAll;NotAtAll;Middle;Urban;3;20;F
29;32;23;26;Secondary;Secondary;onceAweek;AlmostEveryday;Middle;Urban;2;5;F
47;51;20;25;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;3;26;M
38;40;25;27;Secondary;Secondary;NotAtAll;At least once a week;Richer;Urban;2;12;M
40;39;24;22;Primary;Primary;NotAtAll;NotAtAll;Poorest;Urban;2;16;M
38;42;24;28;Secondary;Secondary;NotAtAll;At least once a week;Poorer;Urban;3;13;M
34;37;19;22;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;15;M
28;34;23;30;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;1;4;M
34;51;19;23;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;15;F
44;37;19;16;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;4;24;F
36;44;19;27;Secondary;Primary;NotAtAll;NotAtAll;Middle;Rural;3;17;F
29;39;20;31;Secondary;Primary;NotAtAll;At least once a week;Poorer;Rural;2;8;F
30;32;25;28;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richer;Rural;1;4;M
30;34;19;24;Secondary;Secondary;AlmostEveryday;At least once a week;Richest;Rural;1;11;F
49;54;29;35;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;16;M
30;34;20;24;Secondary;Secondary;NotAtAll;AlmostEveryday;Richer;Rural;2;10;M
49;53;14;53;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;34;M
22;36;21;36;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;1;0;F
47;49;23;25;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;24;F
43;49;16;25;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;26;M
29;35;19;25;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Rural;2;9;M
37;48;24;35;Secondary;Primary;NotAtAll;NotAtAll;Richer;Rural;1;12;M
34;41;17;26;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;3;15;M
42;47;17;23;Primary;Primary;NotAtAll;NotAtAll;Poorer;Urban;7;24;F
39;47;20;28;Secondary;Higher;NotAtAll;NotAtAll;Richer;Urban;4;19;F
38;44;20;26;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;2;18;M
40;41;23;24;Primary;Primary;NotAtAll;NotAtAll;Poorer;Urban;5;17;F
45;51;16;30;Secondary;Higher;NotAtAll;AlmostEveryday;Richest;Rural;5;25;F
28;36;20;28;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;7;F
23;28;20;25;Primary;Secondary;AlmostEveryday;At least once a week;Middle;Rural;1;2;M
39;48;22;31;Secondary;Secondary;AlmostEveryday;At least once a week;Poorer;Urban;4;17;F
24;28;21;25;Higher;Higher;AlmostEveryday;AlmostEveryday;Richer;Urban;2;3;M
28;30;26;28;Higher;Higher;AlmostEveryday;AlmostEveryday;Richer;Urban;1;2;F
37;50;18;31;Secondary;Secondary;NotAtAll;AlmostEveryday;Middle;Rural;3;19;F
49;51;33;34;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;1;16;M
44;47;21;23;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Urban;3;23;F
45;46;21;22;Secondary;Secondary;NotAtAll;At least once a week;Richer;Rural;2;24;F
31;37;23;29;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Rural;1;8;M
40;45;21;26;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;1;18;F
22;26;20;24;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;1;2;F
45;53;35;43;Higher;Higher;AlmostEveryday;LessThanOnceAweek;Richest;Urban;2;10;M
44;48;21;25;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;4;23;F
34;33;33;32;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;1;1;M
38;39;22;23;Primary;Primary;NotAtAll;At least once a week;Richer;Urban;3;15;F
43;45;20;27;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;3;23;M
39;46;23;30;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;2;16;F
47;54;22;31;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;24;F
30;31;22;23;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;1;7;F
33;34;21;21;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;12;M
38;36;21;22;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;17;F
37;45;18;25;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;3;19;M
26;25;22;22;Primary;Secondary;AlmostEveryday;At least once a week;Richer;Rural;1;4;M
40;44;22;26;Secondary;Primary;NotAtAll;NotAtAll;Richest;Urban;1;17;F
39;41;28;27;Primary;Primary;NotAtAll;NotAtAll;Middle;Urban;3;2;M
30;37;21;27;Primary;Secondary;NotAtAll;NotAtAll;Middle;Urban;2;9;F
45;48;20;23;Secondary;Higher;NotAtAll;NotAtAll;Richer;Urban;6;24;F
30;37;22;28;Primary;Secondary;onceAweek;onceAweek;Middle;Urban;2;8;M
31;36;22;26;Primary;Primary;NotAtAll;NotAtAll;Middle;Urban;3;9;M
37;49;19;32;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;3;18;M
27;32;25;30;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;1;1;F
40;43;26;29;Secondary;Secondary;NotAtAll;AlmostEveryday;Middle;Urban;2;13;F
